user=utilizador1 cmd_id=1 initial_timestamp=1778191706515 duration=3ms cmd=echo log_test
user=alice cmd_id=1 initial_timestamp=1778191707439 duration=104ms cmd=sleep 0.1
user=bob cmd_id=2 initial_timestamp=1778191707543 duration=203ms cmd=sleep 0.2
user=carol cmd_id=3 initial_timestamp=1778191707746 duration=2ms cmd=echo x
user=alice cmd_id=4 initial_timestamp=1778191707748 duration=104ms cmd=sleep 0.1
user=bob cmd_id=5 initial_timestamp=1778191707852 duration=203ms cmd=sleep 0.2
user=carol cmd_id=6 initial_timestamp=1778191708055 duration=4ms cmd=echo x
user=alice cmd_id=7 initial_timestamp=1778191708059 duration=103ms cmd=sleep 0.1
user=bob cmd_id=8 initial_timestamp=1778191708162 duration=203ms cmd=sleep 0.2
user=carol cmd_id=9 initial_timestamp=1778191708365 duration=3ms cmd=echo x
user=alice cmd_id=2 initial_timestamp=1778191709286 duration=104ms cmd=sleep 0.1
user=carol cmd_id=3 initial_timestamp=1778191709390 duration=3ms cmd=echo x
user=bob cmd_id=1 initial_timestamp=1778191709286 duration=203ms cmd=sleep 0.2
user=alice cmd_id=4 initial_timestamp=1778191709393 duration=103ms cmd=sleep 0.1
user=carol cmd_id=6 initial_timestamp=1778191709496 duration=3ms cmd=echo x
user=alice cmd_id=7 initial_timestamp=1778191709499 duration=103ms cmd=sleep 0.1
user=bob cmd_id=5 initial_timestamp=1778191709489 duration=204ms cmd=sleep 0.2
user=carol cmd_id=9 initial_timestamp=1778191709693 duration=3ms cmd=echo x
user=bob cmd_id=8 initial_timestamp=1778191709602 duration=203ms cmd=sleep 0.2
user=carol cmd_id=3 initial_timestamp=1778191710729 duration=3ms cmd=echo x
user=alice cmd_id=1 initial_timestamp=1778191710727 duration=104ms cmd=sleep 0.1
user=carol cmd_id=6 initial_timestamp=1778191710831 duration=2ms cmd=echo x
user=alice cmd_id=4 initial_timestamp=1778191710730 duration=103ms cmd=sleep 0.1
user=bob cmd_id=2 initial_timestamp=1778191710727 duration=204ms cmd=sleep 0.2
user=carol cmd_id=9 initial_timestamp=1778191710931 duration=3ms cmd=echo x
user=bob cmd_id=5 initial_timestamp=1778191710732 duration=204ms cmd=sleep 0.2
user=alice cmd_id=7 initial_timestamp=1778191710833 duration=103ms cmd=sleep 0.1
user=bob cmd_id=8 initial_timestamp=1778191710833 duration=203ms cmd=sleep 0.2
user=alice cmd_id=1 initial_timestamp=1778191711958 duration=103ms cmd=sleep 0.1
user=alice cmd_id=5 initial_timestamp=1778191712061 duration=104ms cmd=sleep 0.1
user=bob cmd_id=2 initial_timestamp=1778191711966 duration=204ms cmd=sleep 0.2
user=alice cmd_id=7 initial_timestamp=1778191712165 duration=103ms cmd=sleep 0.1
user=bob cmd_id=4 initial_timestamp=1778191712170 duration=203ms cmd=sleep 0.2
user=carol cmd_id=3 initial_timestamp=1778191712373 duration=4ms cmd=echo x
user=carol cmd_id=6 initial_timestamp=1778191712377 duration=4ms cmd=echo x
user=carol cmd_id=9 initial_timestamp=1778191712381 duration=5ms cmd=echo x
user=bob cmd_id=8 initial_timestamp=1778191712268 duration=204ms cmd=sleep 0.2
user=alice cmd_id=1 initial_timestamp=1778191713393 duration=103ms cmd=sleep 0.1
user=carol cmd_id=3 initial_timestamp=1778191713496 duration=3ms cmd=echo x
user=bob cmd_id=2 initial_timestamp=1778191713393 duration=204ms cmd=sleep 0.2
user=alice cmd_id=4 initial_timestamp=1778191713499 duration=103ms cmd=sleep 0.1
user=carol cmd_id=6 initial_timestamp=1778191713602 duration=3ms cmd=echo x
user=alice cmd_id=7 initial_timestamp=1778191713605 duration=104ms cmd=sleep 0.1
user=bob cmd_id=5 initial_timestamp=1778191713597 duration=204ms cmd=sleep 0.2
user=carol cmd_id=9 initial_timestamp=1778191713801 duration=3ms cmd=echo x
user=bob cmd_id=8 initial_timestamp=1778191713709 duration=203ms cmd=sleep 0.2
user=alice cmd_id=1 initial_timestamp=1778191714833 duration=105ms cmd=sleep 0.1
user=carol cmd_id=3 initial_timestamp=1778191714938 duration=3ms cmd=echo x
user=bob cmd_id=2 initial_timestamp=1778191714833 duration=204ms cmd=sleep 0.2
user=alice cmd_id=4 initial_timestamp=1778191714941 duration=104ms cmd=sleep 0.1
user=carol cmd_id=6 initial_timestamp=1778191715045 duration=4ms cmd=echo x
user=bob cmd_id=5 initial_timestamp=1778191715037 duration=203ms cmd=sleep 0.2
user=carol cmd_id=8 initial_timestamp=1778191715240 duration=3ms cmd=echo x
user=bob cmd_id=7 initial_timestamp=1778191715049 duration=203ms cmd=sleep 0.2
user=alice cmd_id=9 initial_timestamp=1778191715243 duration=103ms cmd=sleep 0.1
